0	-0.89
1	-0.89
2	-0.89
3	-1.53
4	-3.45
5	-3.73
6	-3.73
7	-5.02
8	-8.26
9	-7.96
10	-0.04
11	-2.99
12	-0.28
13	-0.32
14	-0.32
15	-0.33
16	-1.1
17	-0.65
18	-6.59
19	-3.38
20	-6.03
21	-7.47
22	-6.09
23	-5.99
24	-6.06
25	-1.58
26	-3.61
27	-0.01
28	-0.25
29	-3.16
30	0.51
31	-2.91
32	-3.43
33	-0.34
34	-5.22
35	-0.39
36	-6.44
37	-2.39
38	-3.2
39	-3.19
40	-3.19
41	-3.19
42	-3.19
43	-6.83
44	-0.27
45	-0.22
46	-0.32
47	1.18
48	-1.69
49	3.7
50	-5.42
51	0.53
52	-1.54
53	0.66
54	0.45
55	-4.86
56	-0.21
57	-8.09
58	-6.92
59	-4.95
